id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1348003171105443842,NIMI VASHI,"New York, NY",PhD in Cellular Immunology. Research Scholar @ Memorial Sloan Kettering Cancer Center.,2009-12-31 14:37:05,586,2613,1464,False,2021-01-09 20:26:15,Got my COVID 19 vaccine! Cheers to scientists who faced rejections yet believed in a very novel concept of the mRNA… https://t.co/mklAgO3nHu,,Twitter for Android,0,3,False
1346124109672017922,Sefora,Sicily/ UK,Un gradino sopra l'indipendenza.,2011-05-12 16:59:56,349,487,803,False,2021-01-04 15:59:32,Does @pfizer have anything to say about the UK deciding when the second dose needs to be administer?! #CovidVaccine #PfizerBioNTech,"['CovidVaccine', 'PfizerBioNTech']",Twitter for iPhone,0,0,False
1352330697629904901,ɯ𝐨ɔʇ𝐨𝐩ʎ𝐧ƃן𝐨𝐨ɔ@,,Not everything is Black & White!,2009-05-15 01:08:10,168,318,1479,False,2021-01-21 19:02:18,@LOCAL444UNIFOR Why is #DougFord speaking with #PfizerBioNTech at all when it is the federal government who purchas… https://t.co/ybGI4uhHqK,"['DougFord', 'PfizerBioNTech']",Twitter Web App,0,0,False
1357093416925093890,Beyond NOW,,"Beyond NOW will help your daily life by focusing on:

●COMMUNICATION
●LIFE MANAGEMENT
●FINANCIAL MANAGEMENT
●CAREER PLAN

YouTube : https://t.co/gfkrCNyweU",2021-01-02 02:31:46,1,13,9,False,2021-02-03 22:27:38,"HUMAN LIFE WITH THE VIRUS https://t.co/AOLrD2I2Kh

#SocialDistancing
#coivd19
#coronavirus
#humanlife
#sparce… https://t.co/dSs0Yu4yhC","['SocialDistancing', 'coivd19', 'coronavirus', 'humanlife', 'sparce']",Twitter Web App,0,0,False
1381625602676027396,BewustBlond,,Een pad ontstaat door er op te lopen....,2018-10-14 18:42:09,2,39,234,False,2021-04-12 15:09:47,Man dies shortly after #Pfizer vaccin. #COVID19 #PfizerBiontech #vaccin #Netherlands #coronavaccin https://t.co/aXDV7lw5OZ,"['Pfizer', 'COVID19', 'PfizerBiontech', 'vaccin', 'Netherlands', 'coronavaccin']",Twitter for iPhone,0,1,False
1339350357256900613,appdigitalcloud,,"#Tecnologías avanzadas para la #empresa digital.
Inteligencia Artificial,
Planeación Estratégica y
Procesos Administrativos",2020-07-01 17:01:09,52,120,582,False,2020-12-16 23:23:03,"Interesting🤔🤔

Explain: 

""I am 59 years old, I am in good health, I am not in the first line, so for my type it is… https://t.co/LeCy2tLjmA",,Twitter Web App,0,0,False
1436735821965668357,Pistache,,,2020-04-13 01:44:16,56,91,3369,False,2021-09-11 16:58:07,https://t.co/jZXcKPZMXO #11settembre #Zertifikatspflicht #Wuhan #Covid_19 cover-up #coronavirus #COVIDisAirborne co… https://t.co/21GjC5olhB,"['11settembre', 'Zertifikatspflicht', 'Wuhan', 'Covid_19', 'coronavirus', 'COVIDisAirborne']",Twitter for Android,0,0,False
1365228012850077700,Dean Jaggs,"Manningtree, England","Season Ticket Holder at @leytonorientfc, Customer Support Team Leader at Mimecast, Film geek and proud daddy.",2009-06-26 11:08:41,1105,890,1309,False,2021-02-26 09:11:37,Blimey when they said your arm might be a bit sore the next day they weren't fucking kidding were they #Pfizer… https://t.co/pcUQSYDxNQ,['Pfizer'],Twitter for Android,0,1,False
1337862648524926981,Furfuroll,"Moscow, Russia","Люблю окружающих, близких и дальних. The most ordinary Russian.",2010-05-08 08:59:09,418,63,10720,False,2020-12-12 20:51:26,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/DxBnRId3i1,"['coronavirus', 'SputnikV', 'AstraZeneca', 'PfizerBioNTech', 'Moderna', 'Covid_19']",Twitter for Android,0,0,False
1351673505314705413,Madeleine Goldberg,"Pittsburgh, PA",@PittTweet Honors Psychology ‘21 (UGRD) | @UPMC WPIC Dual Diagnosis SBA |      Addiction • Adolescents • Hormones • Reward Processing | Taylor Swift & Star Trek,2020-08-11 23:08:29,18,61,206,False,2021-01-19 23:30:51,"And just like that, I’m fully vaccinated against COVID-19! 🥳 🎉I’m glad to do my part in fighting off this pandemic.… https://t.co/jzgAFz9ttM",,Twitter for iPhone,0,1,False
1355663331797811202,jsavill,"Logan, Queensland, Australia","💧#MedLabScientist, Retired. Progressive #DemocraticSocialist, Left of #Labor, Research #LifeSciences, #Finance, #Climate 💧Block RWNJ. Welcome to my tribe 🙏🏽",2015-02-19 12:54:49,1818,4531,671,False,2021-01-30 23:44:59,@BaxterPeterba @adzd200 @GregHuntMP The #coronavirus is with us for ever. Another wave is only a season away; Need… https://t.co/chBvIHC7Kw,['coronavirus'],Twitter for iPhone,0,1,False
1423287260137410565,𝐒𝐡𝐨𝐨𝐭𝟒𝐔𝐫𝐆𝐨𝐚𝐥𝐬🏀뎃사 사브,"Madrid, Spain",𝐿𝑜𝓋𝑒 𝒾𝓈 𝓌𝒽𝑒𝓃 𝓉𝒽𝑒 𝑜𝓉𝒽𝑒𝓇 𝓅𝑒𝓇𝓈𝑜𝓃'𝓈 𝒽𝒶𝓅𝓅𝒾𝓃𝑒𝓈𝓈 𝒾𝓈 𝓂𝑜𝓇𝑒 𝒾𝓂𝓅𝑜𝓇𝓉𝒶𝓃𝓉 𝓉𝒽𝒶𝓃 𝓎𝑜𝓊𝓇 𝑜𝓌𝓃. #IStandWithDuterte,2011-06-16 22:07:22,1324,2162,104382,False,2021-08-05 14:18:20,"I’m happy and relieved that I’m fully vaccinated! 💉
I’m ready to explore the world again! 🌍 
#2nddosecompleted… https://t.co/bTi0QEDtrY",['2nddosecompleted'],Instagram,0,0,False
1351442791033958400,Daily Express,London,http://t.co/xNo7rgb8JJ - Home of the Daily and Sunday Express,2008-12-05 12:05:48,872038,626,84,True,2021-01-19 08:14:04,"Can the different #vaccines be mixed?
#Moderna #OxfordAstraZeneca #PfizerBioNTech

https://t.co/hSy9AnEGpG https://t.co/rNpgynuWki","['vaccines', 'Moderna', 'OxfordAstraZeneca', 'PfizerBioNTech']",TweetDeck,2,2,False
1351845200444985350,bimbogeorge™,"England, United Kingdom",Pharmacist. Health advocate and convener of Pharmahealthtalk. Love #travels✈  Love #music🎶 appreciate #friendships #followback @pharmahealthta1,2010-09-18 15:24:51,243,843,2046,False,2021-01-20 10:53:06,"Had the 1st dose of the #PfizerBioNTech #CovidVaccine this morning...
I encourage you to get a 💉 when you're invite… https://t.co/URe57erPII","['PfizerBioNTech', 'CovidVaccine']",Twitter for Android,0,1,False
